Transaction_ID,Transaction_Date,Credit_Card_ID,Transaction_Value,Transaction_Segment
CTID59592896,2016-02-21,5618-9718-9367-2102,26716,SEG16
CTID69906257,2016-02-27,6697-9358-9213-4896,47236,SEG19
CTID68686851,2016-08-25,5580-3409-5276-9882,11647,SEG12
CTID67647108,2016-08-18,3158-1638-7701-9309,28833,SEG25
CTID68039321,2016-11-20,2893-7786-7528-2338,19915,SEG24
CTID48539550,2016-05-26,4806-6889-9908-7496,11720,SEG15
CTID11264842,2016-02-04,5734-5619-8469-4044,891,SEG12
CTID12917735,2016-11-25,3762-3694-9841-5446,39966,SEG14
CTID15652294,2016-06-26,5960-5753-3689-8262,28174,SEG23
CTID40680938,2016-03-05,6620-4005-4574-6263,44365,SEG21
CTID92582137,2016-04-08,1661-3809-5334-2155,15585,SEG22
CTID39949884,2016-03-18,8217-2336-2393-6960,27937,SEG13
CTID42197708,2016-12-15,1519-5130-5810-8539,12880,SEG24
CTID66316500,2016-09-27,5160-8427-6529-3274,47831,SEG12
CTID59601937,2016-09-17,1893-8853-9900-8478,44809,SEG16
CTID33559101,2016-01-15,7416-4529-6690-5703,43234,SEG23
CTID26089338,2016-04-25,2854-6117-5924-2770,24782,SEG18
CTID60670788,2016-04-12,2056-7091-8023-1914,18902,SEG22
CTID71631263,2016-02-10,9546-5205-4705-9447,23271,SEG14
CTID30659049,2016-07-17,3652-5528-4808-8216,7110,SEG21
CTID27268602,2016-01-02,9721-7299-5635-3504,31183,SEG25
CTID85611164,2016-02-29,8078-7413-3861-2246,8926,SEG14
CTID35299934,2016-10-26,3708-8801-1521-8042,36465,SEG11
CTID89828724,2016-03-12,1187-8674-2708-3972,44019,SEG12
CTID59693644,2016-07-23,3620-5235-2101-3391,37689,SEG15
CTID53240632,2016-12-28,3810-4783-2207-7703,29856,SEG13
CTID48745881,2016-12-05,9779-2601-5260-2896,9237,SEG21
CTID81603273,2016-04-03,9162-3465-6654-4891,36616,SEG22
CTID16296029,2016-04-24,3970-3872-2591-7629,43502,SEG20
CTID41952336,2016-10-08,9314-8332-5195-8287,43336,SEG20
CTID98602025,2016-06-15,1559-8764-1659-4317,7762,SEG20
CTID78073273,2016-08-29,9369-6196-2597-1730,35035,SEG16
CTID21675850,2016-09-21,1336-9200-1264-2551,4471,SEG18
CTID21680526,2016-02-04,4933-8895-6001-8577,40038,SEG11
CTID75668104,2016-08-23,4818-7275-3513-3939,4842,SEG19
CTID82515633,2016-03-10,9946-6939-3033-9593,1028,SEG15
CTID18094390,2016-01-26,3620-5235-2101-3391,46722,SEG13
CTID70371572,2016-11-15,6197-7150-9163-8287,37334,SEG23
CTID75962780,2016-02-16,2949-1972-1300-6680,22750,SEG15
CTID47470245,2016-11-17,5380-2273-3524-9795,11786,SEG22
CTID43291858,2016-04-05,4139-7870-9436-2923,31455,SEG15
CTID89983002,2016-05-25,5144-5591-4640-2208,955,SEG14
CTID69829785,2016-05-29,2347-2804-9899-1830,48141,SEG24
CTID43911678,2016-01-13,4349-5976-1214-5524,10556,SEG20
CTID19010491,2016-10-24,7558-5459-8235-5737,11022,SEG21
CTID42442159,2016-02-24,3922-3698-6304-1975,30250,SEG24
CTID16605900,2016-11-13,5129-6974-6371-2964,11833,SEG15
CTID55338924,2016-03-13,9933-8699-5268-4345,17815,SEG12
CTID24250630,2016-04-07,7665-2468-6158-3511,48992,SEG23
CTID63583221,2016-01-04,9083-6711-4313-1181,30243,SEG17
CTID40698127,2016-05-02,2056-7091-8023-1914,46845,SEG22
CTID16086102,2016-07-02,3594-2190-6052-1265,298,SEG17
CTID53983054,2016-06-29,4991-3814-8016-9048,44683,SEG13
CTID18392337,2016-07-11,5982-5047-2653-9052,15951,SEG12
CTID83549292,2016-04-03,6042-2856-7280-2925,13436,SEG21
CTID82606233,2016-08-20,6012-7799-2842-7221,18360,SEG19
CTID92385937,2016-05-01,3007-2083-4197-9770,13662,SEG12
CTID59944572,2016-09-29,7662-3108-4951-8587,43846,SEG18
CTID45512620,2016-12-20,4991-3814-8016-9048,6971,SEG25
CTID43929645,2016-02-01,4784-5120-3581-6184,18590,SEG22
CTID61467181,2016-07-06,4525-4818-6014-8945,32949,SEG21
CTID15616641,2016-03-14,6171-3568-7740-8072,14959,SEG11
CTID25236783,2016-01-04,4420-9925-9792-9113,32713,SEG17
CTID79049488,2016-06-22,8272-7202-4112-6502,1364,SEG23
CTID69741696,2016-02-22,5206-5979-9383-4538,5245,SEG13
CTID70923033,2016-09-19,3140-6494-9869-5893,40837,SEG13
CTID90508994,2016-05-22,5175-8965-9249-9021,24805,SEG11
CTID52843489,2016-01-16,1629-9566-3285-2123,48307,SEG17
CTID44543315,2016-03-03,3196-5064-6247-7113,29216,SEG17
CTID35725590,2016-03-19,8783-7271-8493-7931,42794,SEG20
CTID53787315,2016-06-19,8869-7604-9618-3740,14320,SEG11
CTID39919953,2016-09-02,6617-5782-1394-1632,29525,SEG11
CTID65663686,2016-05-04,7677-5937-2671-3687,49488,SEG16
CTID50558449,2016-05-06,4246-1369-3659-8804,6984,SEG23
CTID91780820,2016-02-07,4610-9984-7768-4610,692,SEG11
CTID41830600,2016-10-25,8769-1185-5731-6569,27787,SEG12
CTID65915545,2016-10-17,1438-6906-2509-8219,8022,SEG22
CTID30116647,2016-10-28,3708-8801-1521-8042,29076,SEG25
CTID87623994,2016-03-18,8578-3662-1951-5720,9421,SEG23
CTID84270730,2016-12-11,5283-6135-5709-4452,28644,SEG18
CTID50143807,2016-05-16,7966-2894-6066-2530,22375,SEG21
CTID30189023,2016-07-23,1749-4777-2532-7766,40209,SEG11
CTID54999800,2016-12-20,6385-4594-8055-9081,26707,SEG16
CTID41909175,2016-03-29,6258-3903-6637-5620,22281,SEG25
CTID91649543,2016-07-16,8106-9789-1679-2552,42813,SEG25
CTID21139336,2016-03-06,3970-3872-2591-7629,33627,SEG14
CTID27591627,2016-12-04,6514-4444-5642-2615,15317,SEG24
CTID51286588,2016-12-25,6085-9783-3284-2783,16064,SEG13
CTID83008873,2016-06-18,6258-3903-6637-5620,6739,SEG25
CTID76945955,2016-03-18,3458-8126-3660-8686,15807,SEG16
CTID75986316,2016-04-10,5591-5619-8809-5454,49259,SEG25
CTID17469133,2016-03-21,4819-6940-5506-8061,24231,SEG11
CTID95635465,2016-10-25,3405-7202-8402-5988,33486,SEG12
CTID65438518,2016-09-02,3544-7836-9589-7635,31353,SEG13
CTID15442130,2016-05-17,3594-2190-6052-1265,35852,SEG21
CTID46365299,2016-04-23,5349-1963-8417-8327,34090,SEG25
CTID19451148,2016-08-16,7908-3850-6633-2606,7743,SEG18
CTID62140956,2016-06-19,5590-1294-8800-2874,41228,SEG13
CTID13020269,2016-02-14,9304-8255-4381-2028,2667,SEG21
CTID64575273,2016-11-08,9157-2802-8374-1145,2418,SEG17
CTID80396057,2016-12-20,1187-8674-2708-3972,46212,SEG24
CTID44242497,2016-02-11,3440-3330-5015-4988,21350,SEG12
CTID13823565,2016-11-15,4262-7103-6508-4214,23886,SEG20
CTID73092320,2016-06-13,5619-4425-5473-6565,14050,SEG17
CTID98838546,2016-06-09,2046-1892-2379-9050,8199,SEG20
CTID90565262,2016-11-12,2992-8127-2278-9771,4093,SEG19
CTID79929631,2016-02-28,2422-2354-4628-4556,8958,SEG18
CTID23946761,2016-02-26,7708-8807-7837-8812,799,SEG14
CTID12303087,2016-11-13,7658-7645-4568-1461,26431,SEG12
CTID83705853,2016-12-21,1259-5241-3561-1773,3861,SEG16
CTID93893582,2016-02-15,7276-7349-6334-3809,7709,SEG21
CTID75411359,2016-01-21,3001-2844-6540-3608,4223,SEG19
CTID88529229,2016-08-05,8115-7743-6213-9284,28528,SEG13
CTID33921395,2016-03-07,2264-2870-6785-2725,47877,SEG25
CTID43355946,2016-08-06,1235-8656-9164-2644,37494,SEG11
CTID61789528,2016-09-08,6540-2862-2962-5109,934,SEG25
CTID90824629,2016-06-24,1585-2708-4693-1454,10339,SEG14
CTID75958813,2016-04-18,6025-2610-4001-6680,460,SEG19
CTID32765855,2016-07-14,5533-2042-7236-9790,16426,SEG25
CTID74195846,2016-08-14,8691-3939-1859-5937,42144,SEG19
CTID12997336,2016-08-25,3697-6001-4909-5350,8076,SEG25
CTID48358803,2016-07-13,2893-7786-7528-2338,29739,SEG25
CTID31895189,2016-12-01,9458-1130-5333-6475,44822,SEG16
CTID74583185,2016-07-29,8869-7604-9618-3740,6126,SEG19
CTID47991566,2016-03-17,8578-3662-1951-5720,5910,SEG22
CTID13376450,2016-02-06,1355-1728-8274-9593,30490,SEG16
CTID75163586,2016-10-18,8836-7078-5752-6312,37933,SEG21
CTID21977092,2016-12-31,6272-7021-2748-1471,8509,SEG25
CTID48926797,2016-07-04,9310-6095-5617-9905,38288,SEG18
CTID33048584,2016-03-04,1123-9777-7335-9167,34653,SEG12
CTID24864485,2016-07-02,8052-5734-6162-9591,17364,SEG16
CTID56494020,2016-01-07,5556-4557-4566-1540,28517,SEG23
CTID27779169,2016-08-31,8467-5358-5569-3718,3698,SEG19
CTID70744813,2016-01-25,8031-9022-9952-9605,32301,SEG16
CTID30191214,2016-09-10,7837-4036-5999-1672,4733,SEG20
CTID52649010,2016-02-01,8138-6235-7062-6142,36457,SEG13
CTID12126014,2016-09-24,7168-9862-2659-8550,12837,SEG22
CTID34518385,2016-08-15,8725-3610-8060-2617,12587,SEG22
CTID69100100,2016-07-19,6315-7338-3105-9947,4087,SEG21
CTID35756391,2016-03-05,5814-6146-3149-1775,17776,SEG25
CTID85896280,2016-07-05,4818-7275-3513-3939,38297,SEG23
CTID19839345,2016-05-18,5811-4353-3490-5513,11862,SEG22
CTID94998392,2016-10-23,2911-7555-3093-9231,5919,SEG24
CTID16322007,2016-11-14,6148-9835-7115-4405,25241,SEG21
CTID75607282,2016-06-02,1893-8853-9900-8478,25764,SEG11
CTID58554308,2016-11-08,5206-5979-9383-4538,17289,SEG20
CTID35703242,2016-02-24,5778-9566-9086-7555,27347,SEG12
CTID96560832,2016-04-04,3170-4662-9297-6384,38074,SEG22
CTID88461344,2016-08-15,2056-7091-8023-1914,20862,SEG16
CTID28444473,2016-01-09,9304-4488-7872-2868,31469,SEG25
CTID61555638,2016-01-07,1825-7669-6621-9045,7154,SEG13
CTID23587070,2016-07-14,1481-2536-2178-7547,21366,SEG22
CTID99068121,2016-05-02,2116-6906-9722-9824,26449,SEG25
CTID94969373,2016-03-31,1693-2036-4352-9386,9748,SEG13
CTID17733602,2016-09-25,4349-5976-1214-5524,45332,SEG11
CTID25573916,2016-01-25,4646-8260-8197-7078,34588,SEG16
CTID49999419,2016-06-12,8757-6814-8721-3839,13153,SEG20
CTID55773811,2016-10-19,3001-2844-6540-3608,10580,SEG14
CTID99177828,2016-05-08,2595-8621-2855-9119,24989,SEG21
CTID61562561,2016-02-28,4818-7275-3513-3939,19103,SEG18
CTID47844980,2016-03-23,9391-7086-9113-4893,1556,SEG25
CTID13611468,2016-05-30,1782-5331-5899-1813,25991,SEG14
CTID17823791,2016-03-07,7662-3108-4951-8587,12460,SEG22
CTID44725599,2016-01-08,4203-2936-4855-8802,26731,SEG11
CTID60768509,2016-10-15,4092-8604-7363-3393,34236,SEG23
CTID12416592,2016-10-01,8614-1547-9524-8444,11085,SEG24
CTID85625581,2016-10-02,4933-8895-6001-8577,31949,SEG18
CTID20690481,2016-12-17,3380-5311-6073-9478,6539,SEG14
CTID57279911,2016-04-24,3313-4024-5109-8235,25045,SEG13
CTID13393523,2016-11-01,5018-8635-8433-6614,21890,SEG23
CTID61412164,2016-03-20,2535-9251-5633-3656,40794,SEG24
CTID50439096,2016-07-26,4203-2936-4855-8802,16334,SEG15
CTID32605313,2016-07-10,4661-5769-5059-2114,49544,SEG15
CTID98805399,2016-10-10,5616-5526-4836-1962,5785,SEG22
CTID23815030,2016-09-13,3323-8332-7133-7008,15582,SEG15
CTID79576450,2016-05-14,5960-5753-3689-8262,31454,SEG21
CTID80817022,2016-05-24,6321-2048-7733-8765,20072,SEG20
CTID18918004,2016-03-25,8578-3662-1951-5720,24279,SEG20
CTID37642297,2016-07-02,6171-3568-7740-8072,30931,SEG12
CTID56840521,2016-11-17,2046-1892-2379-9050,20234,SEG20
CTID72636226,2016-11-15,4427-5380-8182-9668,10310,SEG23
CTID28267863,2016-09-20,3170-4662-9297-6384,7211,SEG12
CTID79611141,2016-11-10,6492-5655-8241-3530,40319,SEG17
CTID29551810,2016-07-17,6994-7925-9044-3458,28721,SEG19
CTID64251442,2016-10-09,2017-7197-7814-9950,18011,SEG25
CTID37175733,2016-05-04,7708-8807-7837-8812,24988,SEG25
CTID20396477,2016-01-10,4818-7275-3513-3939,30876,SEG22
CTID20122867,2016-03-13,7296-3224-2880-5747,38144,SEG18
CTID23031292,2016-11-02,7168-9862-2659-8550,8467,SEG20
CTID35472129,2016-02-21,5731-9804-7859-1641,35341,SEG20
CTID55936882,2016-11-29,1336-9200-1264-2551,34367,SEG21
CTID11604363,2016-02-22,8305-2272-4553-4911,35291,SEG16
CTID33305453,2016-08-08,7224-9964-4793-3939,43458,SEG14
CTID19610434,2016-08-02,7908-8365-2086-2481,5013,SEG13
CTID22764343,2016-08-26,9843-6858-7863-1891,43557,SEG11
CTID81542740,2016-04-03,7299-3529-7767-1695,27320,SEG19
CTID59764726,2016-08-25,5616-5526-4836-1962,4195,SEG13
CTID77948981,2016-07-14,5984-2442-3351-3695,19768,SEG15
CTID70316797,2016-03-16,2764-7023-8396-5255,37233,SEG20
CTID13984820,2016-01-30,6479-5593-2105-9060,42559,SEG25
CTID90027280,2016-09-19,5175-8965-9249-9021,21967,SEG15
CTID18222382,2016-06-03,7416-4529-6690-5703,21563,SEG25
CTID13057728,2016-10-07,6075-5795-3555-1281,7836,SEG19
CTID52533613,2016-01-12,3168-6552-9936-1500,22358,SEG18
CTID37574090,2016-11-05,1559-8764-1659-4317,48647,SEG11
CTID61925875,2016-05-21,2447-6299-5016-4953,2496,SEG16
CTID15241575,2016-10-31,1616-5911-1676-5466,18080,SEG17
CTID32171893,2016-03-18,5592-8244-5701-5100,1440,SEG12
CTID62525966,2016-06-06,2893-7786-7528-2338,30226,SEG19
CTID69605488,2016-01-15,6321-2048-7733-8765,27387,SEG22
CTID22674277,2016-11-24,9386-8854-6115-4075,14525,SEG19
CTID68117922,2016-04-28,8066-8437-2479-2481,9327,SEG16
CTID94424844,2016-07-24,7504-5906-9389-8905,38180,SEG20
CTID46567540,2016-02-01,8467-5358-5569-3718,35203,SEG21
CTID62363787,2016-05-13,6025-2610-4001-6680,8781,SEG24
CTID95703581,2016-12-21,4864-7119-5608-7611,42613,SEG22
CTID12596740,2016-11-30,6042-2856-7280-2925,30370,SEG15
CTID72228862,2016-07-05,7290-4771-9163-1291,12397,SEG25
CTID53344391,2016-08-03,8486-4186-7122-3452,44071,SEG22
CTID50717550,2016-12-30,9161-8723-1217-5269,44585,SEG24
CTID62780951,2016-06-11,9369-6196-2597-1730,10374,SEG25
CTID24362182,2016-07-03,8951-3220-4809-9797,46083,SEG11
CTID37223243,2016-02-04,7900-3001-7632-4005,18853,SEG17
CTID55242397,2016-08-25,5591-5619-8809-5454,9006,SEG23
CTID84471784,2016-12-20,6765-2732-8888-1318,28984,SEG24
CTID17151903,2016-04-09,2595-7800-1142-5225,2850,SEG24
CTID63229719,2016-05-28,3458-8126-3660-8686,29795,SEG14
CTID69350091,2016-08-16,8361-7488-5303-1801,10276,SEG13
CTID61255253,2016-05-09,2264-2870-6785-2725,10241,SEG23
CTID89563048,2016-05-27,5962-5634-2696-2739,17146,SEG25
CTID18768516,2016-01-06,5984-2442-3351-3695,37875,SEG22
CTID88885850,2016-07-07,9517-7826-1862-6726,27340,SEG12
CTID83294388,2016-11-24,3313-4024-5109-8235,6421,SEG17
CTID68419215,2016-10-15,6197-7150-9163-8287,6912,SEG16
CTID70663216,2016-03-22,4973-1293-1664-2086,29436,SEG16
CTID50637354,2016-10-07,9356-9491-6534-8313,35708,SEG11
CTID87252789,2016-07-03,7141-7294-3956-4408,8919,SEG15
CTID77629054,2016-03-01,1765-4019-5141-9230,19503,SEG20
CTID43380685,2016-02-20,4937-6752-6970-3163,25946,SEG22
CTID62078493,2016-02-13,5296-2987-4365-6870,49505,SEG15
CTID52345227,2016-12-14,8031-9022-9952-9605,43491,SEG12
CTID56880947,2016-06-14,3914-1379-8974-9157,48045,SEG12
CTID87881979,2016-07-07,5144-5591-4640-2208,12732,SEG18
CTID58922027,2016-02-11,5540-8588-7666-7798,31656,SEG19
CTID36538948,2016-11-07,3114-9778-2542-3154,32283,SEG20
CTID61223425,2016-01-04,8214-9590-3044-1216,3742,SEG14
CTID75811385,2016-05-16,3167-9604-1650-2605,28846,SEG16
CTID95445736,2016-06-09,5747-7372-2770-2325,7410,SEG22
CTID56697573,2016-06-04,2495-1344-4998-6045,27109,SEG24
CTID37261063,2016-06-13,4138-5166-7490-1188,16950,SEG17
CTID55806005,2016-09-09,1355-1728-8274-9593,25742,SEG22
CTID74960781,2016-03-21,1559-8764-1659-4317,46646,SEG25
CTID95613581,2016-07-06,4587-3535-8224-4301,27797,SEG12
CTID50366321,2016-07-02,3467-4873-4196-4795,49296,SEG20
CTID78874300,2016-03-15,2595-7800-1142-5225,29176,SEG13
CTID55916016,2016-05-09,3513-5475-4629-7570,3825,SEG13
CTID13529302,2016-09-06,8249-2687-5339-2078,48868,SEG22
CTID12164601,2016-10-23,9425-1481-6545-6190,29890,SEG25
CTID45974171,2016-06-20,3698-9867-4865-5497,19308,SEG14
CTID49220021,2016-11-01,9304-8255-4381-2028,44763,SEG18
CTID67981131,2016-02-03,3544-7836-9589-7635,46616,SEG12
CTID33667206,2016-09-04,7586-6475-9618-3909,41315,SEG15
CTID97208028,2016-07-25,8135-1903-7706-2260,15405,SEG20
CTID31276879,2016-08-18,9386-8854-6115-4075,5476,SEG20
CTID49169480,2016-11-09,1259-5241-3561-1773,33655,SEG22
CTID30271092,2016-01-04,3146-4961-6964-4229,13788,SEG11
CTID89585792,2016-12-10,1449-4529-1480-3546,31139,SEG24
CTID94701458,2016-10-13,5094-8484-5014-6152,27964,SEG25
CTID32725523,2016-04-07,8793-4049-9771-8176,37585,SEG11
CTID32935594,2016-06-08,5814-6146-3149-1775,638,SEG25
CTID18814238,2016-02-22,8976-7958-2694-8171,11525,SEG22
CTID41643260,2016-06-27,7900-3001-7632-4005,7186,SEG14
CTID28002072,2016-07-05,1127-9633-2269-3119,6005,SEG18
CTID57989295,2016-12-04,5384-8278-5616-5502,37941,SEG16
CTID45760792,2016-03-23,3430-7717-8611-4878,3439,SEG20
CTID31302142,2016-10-10,2649-6876-7496-4123,32421,SEG17
CTID37572303,2016-11-07,3922-3698-6304-1975,26701,SEG14
CTID81199202,2016-03-30,5018-8635-8433-6614,49698,SEG13
CTID37990100,2016-08-19,7725-3576-5626-3317,6654,SEG25
CTID87725637,2016-11-18,7725-3576-5626-3317,30462,SEG15
CTID88160445,2016-12-24,4959-5036-1379-1303,19271,SEG12
CTID85378475,2016-08-17,4843-3880-6792-2259,31787,SEG12
CTID73132593,2016-08-24,8869-7604-9618-3740,9048,SEG16
CTID90182533,2016-07-24,4708-4407-9601-6022,8630,SEG11
CTID81574346,2016-09-28,4843-3880-6792-2259,20258,SEG21
CTID90593327,2016-02-05,8115-7743-6213-9284,42697,SEG25
CTID72585499,2016-06-28,6042-2856-7280-2925,40139,SEG20
CTID69521846,2016-08-30,8031-9022-9952-9605,49338,SEG14
CTID65304804,2016-03-30,2046-1892-2379-9050,1868,SEG24
CTID77361267,2016-03-01,4661-5769-5059-2114,30621,SEG16
CTID14123376,2016-06-12,2370-4593-4826-2349,32070,SEG24
CTID53641098,2016-05-29,2201-1387-2319-6874,36149,SEG19
CTID60220521,2016-01-03,9304-8255-4381-2028,21936,SEG17
CTID84885123,2016-10-30,9304-8255-4381-2028,29230,SEG19
CTID62153504,2016-07-15,5864-4475-3659-1440,42916,SEG22
CTID91116251,2016-08-23,3620-5235-2101-3391,11513,SEG11
CTID95735172,2016-04-22,8522-7783-9262-6673,156,SEG12
CTID83363765,2016-09-18,7430-6895-6227-4665,41381,SEG20
CTID99758372,2016-12-31,6272-7021-2748-1471,48425,SEG11
CTID96816058,2016-03-29,7725-3576-5626-3317,12996,SEG22
CTID49476304,2016-03-17,9161-8723-1217-5269,49513,SEG22
CTID95097064,2016-09-23,3748-8048-5227-8162,43407,SEG21
CTID65606916,2016-06-29,2595-8621-2855-9119,28458,SEG15
CTID56217127,2016-02-20,4783-2852-8264-4966,34023,SEG12
CTID67443422,2016-08-18,6321-2048-7733-8765,35886,SEG15
CTID91791995,2016-10-21,4783-2852-8264-4966,15874,SEG25
CTID79899936,2016-09-04,4708-4407-9601-6022,48544,SEG13
CTID63762180,2016-12-05,8528-6154-7390-5081,44550,SEG15
CTID43564171,2016-08-05,4334-6855-2003-9239,11803,SEG24
CTID82645178,2016-05-27,8522-7783-9262-6673,2732,SEG18
CTID77272661,2016-10-24,8272-7202-4112-6502,8856,SEG14
CTID64031787,2016-08-06,8069-5321-4131-7493,3034,SEG25
CTID82535754,2016-09-28,3914-1379-8974-9157,39202,SEG13
CTID65434028,2016-03-17,6575-1457-7757-9141,43620,SEG24
CTID93010743,2016-05-20,4703-4800-3443-6825,20188,SEG24
CTID85157286,2016-10-14,8839-9467-3960-3997,16997,SEG24
CTID98338374,2016-06-08,5144-5591-4640-2208,43043,SEG12
CTID85827424,2016-08-19,5674-3252-5805-3288,33571,SEG11
CTID99713372,2016-04-28,1464-1118-5953-6424,9762,SEG14
CTID51422650,2016-10-29,4040-7464-4000-3447,2320,SEG16
CTID61830871,2016-06-26,3007-2083-4197-9770,7915,SEG21
CTID16681771,2016-12-13,2649-6876-7496-4123,27407,SEG18
CTID36202811,2016-04-23,6343-7134-9888-2361,45517,SEG19
CTID84926218,2016-04-01,7382-8932-9683-9480,31515,SEG16
CTID76408966,2016-09-15,8481-9097-2828-9363,16656,SEG21
CTID67907713,2016-08-18,9302-6470-7735-6371,5360,SEG18
CTID91668164,2016-03-14,3748-8048-5227-8162,45678,SEG25
CTID91294895,2016-11-02,7377-5503-9688-7953,34862,SEG13
CTID88984107,2016-11-19,7212-8665-7734-5918,29611,SEG13
CTID95556745,2016-04-14,4093-1634-8086-4601,11723,SEG18
CTID40847533,2016-04-28,5206-5979-9383-4538,37710,SEG15
CTID18673527,2016-11-29,8685-1513-4751-8018,35607,SEG11
CTID51505666,2016-07-05,4491-2026-2441-2049,30945,SEG18
CTID98408057,2016-03-23,1655-7617-4318-5963,21019,SEG21
CTID25229124,2016-08-31,2347-2804-9899-1830,14002,SEG22
CTID57225057,2016-08-25,9425-1481-6545-6190,11460,SEG11
CTID36123729,2016-02-25,9391-7086-9113-4893,4072,SEG20
CTID34235934,2016-03-29,4783-2852-8264-4966,41300,SEG17
CTID91771741,2016-08-27,6697-9358-9213-4896,44842,SEG17
CTID16914224,2016-01-26,8870-2780-7399-5151,4283,SEG14
CTID49981184,2016-09-09,8691-3939-1859-5937,29878,SEG17
CTID87723981,2016-11-09,6750-4821-2334-9977,27120,SEG21
CTID31269003,2016-10-20,8341-5263-4582-7396,1972,SEG19
CTID13278822,2016-11-15,3440-1978-8156-5313,40333,SEG19
CTID80788144,2016-06-25,6835-6133-8935-6988,28751,SEG19
CTID51091446,2016-07-08,7377-5503-9688-7953,34955,SEG16
CTID95565148,2016-12-16,3461-8685-2115-2963,42396,SEG17
CTID18296043,2016-03-16,8002-6041-9878-5658,17329,SEG25
CTID94370405,2016-09-22,6514-4444-5642-2615,36470,SEG17
CTID48519643,2016-04-12,8052-5734-6162-9591,5367,SEG24
CTID42448608,2016-07-05,3461-8685-2115-2963,11884,SEG16
CTID91841117,2016-02-10,9138-8487-6675-4521,35935,SEG19
CTID30293763,2016-10-21,2830-1922-3225-5423,18031,SEG24
CTID73149998,2016-04-07,5144-5591-4640-2208,47900,SEG23
CTID95156861,2016-04-24,6531-1690-4324-2760,7983,SEG24
CTID56393626,2016-12-12,3461-8685-2115-2963,19794,SEG25
CTID18324077,2016-12-14,6399-9536-6027-1857,39417,SEG24
CTID52701307,2016-03-24,6244-6800-1680-7174,27993,SEG14
CTID29053297,2016-08-11,6045-2636-8278-8875,42571,SEG25
CTID96666677,2016-09-13,5734-5619-8469-4044,37975,SEG14
CTID17295494,2016-05-31,8217-2336-2393-6960,32044,SEG18
CTID96641379,2016-06-26,6479-5593-2105-9060,2646,SEG13
CTID22239149,2016-11-10,1683-2865-3396-4925,21842,SEG14
CTID18133843,2016-08-13,6876-7378-4945-3251,23552,SEG22
CTID91939172,2016-09-20,4803-9564-9708-3189,21988,SEG20
CTID38498056,2016-08-28,5262-2954-4306-9001,14168,SEG16
CTID65009094,2016-06-21,1661-3809-5334-2155,38295,SEG11
CTID70313606,2016-11-24,1438-6906-2509-8219,47927,SEG20
CTID66913353,2016-02-16,7843-4724-2851-6218,22830,SEG14
CTID36226968,2016-11-27,1355-1728-8274-9593,34537,SEG24
CTID24108746,2016-06-08,5274-7205-2377-3357,7734,SEG19
CTID49416873,2016-02-04,6045-2636-8278-8875,15059,SEG25
CTID60694669,2016-04-27,5587-7265-8118-7718,16479,SEG24
CTID28520978,2016-03-12,5984-2442-3351-3695,10959,SEG23
CTID95002270,2016-07-18,5619-4425-5473-6565,33817,SEG21
CTID47573501,2016-09-20,9873-6894-5872-1884,11041,SEG18
CTID85938012,2016-02-13,9356-9491-6534-8313,49704,SEG14
CTID89312578,2016-01-11,6575-1457-7757-9141,7541,SEG19
CTID45588186,2016-05-20,8228-6661-8736-2838,43556,SEG18
CTID11506907,2016-03-18,1449-4529-1480-3546,2367,SEG16
